xRoadEnd1,yRoadEnd1,xRoadEnd2,xRoadEnd2,xTrack,yTrack
501.49,1121.4,503.49,1123.4,502.49,1122.4
500.38,1125.3,502.38,1127.3,501.38,1126.3
499.61,1129.3,501.61,1131.3,500.61,1130.3
498.84,1133.3,500.84,1135.3,499.84,1134.3
498.06,1137.3,500.06,1139.3,499.06,1138.3
497.29,1141.3,499.29,1143.3,498.29,1142.3
496.52,1145.2,498.52,1147.2,497.52,1146.2
495.75,1149.2,497.75,1151.2,496.75,1150.2
494.59,1153.1,496.59,1155.1,495.59,1154.1
493.37,1157,495.37,1159,494.37,1158
492.15,1160.8,494.15,1162.8,493.15,1161.8
490.93,1164.7,492.93,1166.7,491.93,1165.7
489.71,1168.6,491.71,1170.6,490.71,1169.6
488.48,1172.4,490.48,1174.4,489.48,1173.4
487.26,1176.3,489.26,1178.3,488.26,1177.3
486.04,1180.2,488.04,1182.2,487.04,1181.2
485.07,1184.1,487.07,1186.1,486.07,1185.1
486.06,1188.1,488.06,1190.1,487.06,1189.1
487.05,1192,489.05,1194,488.05,1193
488.05,1195.9,490.05,1197.9,489.05,1196.9
489.04,1199.8,491.04,1201.8,490.04,1200.8
492.21,1202.3,494.21,1204.3,493.21,1203.3
495.6,1204.6,497.6,1206.6,496.6,1205.6
498.99,1206.8,500.99,1208.8,499.99,1207.8
502.38,1209.1,504.38,1211.1,503.38,1210.1
506.34,1208.5,508.34,1210.5,507.34,1209.5
510.27,1207.6,512.27,1209.6,511.27,1208.6
514.2,1206.8,516.2,1208.8,515.2,1207.8
518.12,1205.9,520.12,1207.9,519.12,1206.9
521.85,1204.3,523.85,1206.3,522.85,1205.3
524.73,1201.4,526.73,1203.4,525.73,1202.4
527.62,1198.5,529.62,1200.5,528.62,1199.5
530.5,1195.6,532.5,1197.6,531.5,1196.6
533.38,1192.7,535.38,1194.7,534.38,1193.7
536.44,1190,538.44,1192,537.44,1191
539.53,1187.4,541.53,1189.4,540.53,1188.4
542.82,1185.1,544.82,1187.1,543.82,1186.1
546.83,1185,548.83,1187,547.83,1186
550.84,1184.9,552.84,1186.9,551.84,1185.9
554.85,1184.9,556.85,1186.9,555.85,1185.9
558.87,1184.8,560.87,1186.8,559.87,1185.8
562.81,1185.8,564.81,1187.8,563.81,1186.8
566.56,1187.5,568.56,1189.5,567.56,1188.5
570.32,1189.1,572.32,1191.1,571.32,1190.1
574.11,1190.5,576.11,1192.5,575.11,1191.5
577.92,1191.7,579.92,1193.7,578.92,1192.7
581.73,1192.9,583.73,1194.9,582.73,1193.9
585.54,1194.1,587.54,1196.1,586.54,1195.1
589.35,1195.4,591.35,1197.4,590.35,1196.4
593.16,1196.6,595.16,1198.6,594.16,1197.6
596.97,1197.8,598.97,1199.8,597.97,1198.8
600.78,1199,602.78,1201,601.78,1200
604.59,1200.3,606.59,1202.3,605.59,1201.3
608.4,1201.5,610.4,1203.5,609.4,1202.5
612.21,1202.7,614.21,1204.7,613.21,1203.7
616.02,1203.9,618.02,1205.9,617.02,1204.9
619.83,1205.2,621.83,1207.2,620.83,1206.2
623.64,1206.4,625.64,1208.4,624.64,1207.4
627.45,1207.6,629.45,1209.6,628.45,1208.6
631.26,1208.8,633.26,1210.8,632.26,1209.8
635.07,1210.1,637.07,1212.1,636.07,1211.1
638.88,1211.3,640.88,1213.3,639.88,1212.3
642.69,1212.5,644.69,1214.5,643.69,1213.5
646.5,1213.7,648.5,1215.7,647.5,1214.7
650.31,1214.9,652.31,1216.9,651.31,1215.9
654.12,1216.2,656.12,1218.2,655.12,1217.2
657.93,1217.4,659.93,1219.4,658.93,1218.4
661.74,1218.6,663.74,1220.6,662.74,1219.6
665.55,1219.8,667.55,1221.8,666.55,1220.8
669.36,1221.1,671.36,1223.1,670.36,1222.1
673.17,1222.3,675.17,1224.3,674.17,1223.3
676.98,1223.5,678.98,1225.5,677.98,1224.5
680.8,1224.7,682.8,1226.7,681.8,1225.7
684.61,1226,686.61,1228,685.61,1227
688.42,1227.2,690.42,1229.2,689.42,1228.2
692.23,1228.4,694.23,1230.4,693.23,1229.4
696.04,1229.6,698.04,1231.6,697.04,1230.6
699.85,1230.9,701.85,1232.9,700.85,1231.9
703.66,1232.1,705.66,1234.1,704.66,1233.1
707.47,1233.3,709.47,1235.3,708.47,1234.3
711.28,1234.5,713.28,1236.5,712.28,1235.5
715.09,1235.7,717.09,1237.7,716.09,1236.7
718.9,1237,720.9,1239,719.9,1238
722.71,1238.2,724.71,1240.2,723.71,1239.2
726.52,1239.4,728.52,1241.4,727.52,1240.4
730.33,1240.6,732.33,1242.6,731.33,1241.6
734.14,1241.9,736.14,1243.9,735.14,1242.9
737.95,1243.1,739.95,1245.1,738.95,1244.1
741.76,1244.3,743.76,1246.3,742.76,1245.3
745.57,1245.5,747.57,1247.5,746.57,1246.5
749.38,1246.8,751.38,1248.8,750.38,1247.8
753.19,1248,755.19,1250,754.19,1249
757,1249.2,759,1251.2,758,1250.2
760.81,1250.4,762.81,1252.4,761.81,1251.4
764.62,1251.7,766.62,1253.7,765.62,1252.7
768.43,1252.9,770.43,1254.9,769.43,1253.9
772.24,1254.1,774.24,1256.1,773.24,1255.1
776.05,1255.3,778.05,1257.3,777.05,1256.3
